Filename,Center Code,Sub Center Code,Subject Code,Invigilator Signed,Row Number,Status,Signature Present,Registration No,OMR No,QCAB Serial No
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100001.jpg,2,14,666,1,1,Present,Yes,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100001.jpg,2,14,666,1,2,Double Marked,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100001.jpg,2,14,666,1,3,Present,Yes,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100001.jpg,2,14,666,1,4,Not Marked,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100001.jpg,2,14,666,1,5,Present,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100001.jpg,2,14,666,1,6,Absent,Yes,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100002.jpg,2,14,666,1,1,Absent,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100002.jpg,2,14,666,1,2,Present,Yes,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100002.jpg,2,14,666,1,3,Not Marked,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100002.jpg,2,14,666,1,4,Present,Yes,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100002.jpg,2,14,666,1,5,Absent,Yes,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100002.jpg,2,14,666,1,6,Present,Yes,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100003.jpg,2,14,666,1,1,Present,Yes,,,481440
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100003.jpg,2,14,666,1,2,Absent,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100003.jpg,2,14,666,1,3,Present,No,,,312442
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100003.jpg,2,14,666,1,4,Absent,Yes,,,314014
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100003.jpg,2,14,666,1,5,Present,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100003.jpg,2,14,666,1,6,Present,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100004.jpg,2,14,666,1,1,Not Marked,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100004.jpg,2,14,666,1,2,Not Marked,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100004.jpg,2,14,666,1,3,Not Marked,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100004.jpg,2,14,666,1,4,Double Marked,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100004.jpg,2,14,666,1,5,Not Marked,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100004.jpg,2,14,666,1,6,Not Marked,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100005.jpg,2,14,666,1,1,Present,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100005.jpg,2,14,666,1,2,Absent,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100005.jpg,2,14,666,1,3,Not Marked,Yes,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100005.jpg,2,14,666,1,4,Present,No,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100005.jpg,2,14,666,1,5,Present,Yes,,,
E:\venkat\Antigravity\FinalV2\kpsc_omr\Attendance Sheet1\100005.jpg,2,14,666,1,6,Not Marked,No,,,
